id,salary_in_usd
0,97044.00713306383
1,174801.15352973566
2,99990.27818913483
3,86878.25987300773
4,39612.49452279212
5,109258.43538995081
6,145274.8097332288
7,43961.12903546398
8,51767.589902592095
9,192504.60389671705
10,28121.88644781642
11,216020.74120445742
12,60172.50748102362
13,21603.799756234534
14,89353.42508737725
15,60238.12489126751
16,80074.62666708606
17,99338.52421638966
18,68766.4608047204
19,56487.561885513096
20,59767.606553439466
21,47835.22348442178
22,97281.90629888448
23,172699.44198142673
24,17644.28787381064
25,17644.28787381064
26,99361.06965841132
27,220211.28414100912
28,33256.884630684086
29,113704.63694307889
30,90109.72486417905
31,100979.20321694453
32,95221.90876310038
33,37639.708766691925
34,81231.5412372747
35,70817.05138283476
36,172699.44198142673
37,72157.92913604171
38,81231.5412372747
39,172699.44198142673
40,33491.57119556334
41,20277.993875397788
42,99338.52421638966
43,153585.9566653392
44,99361.06965841132
45,199895.7415373307
46,133970.31792893444
47,69276.72068003364
48,100979.20321694453
49,52084.88270557503
50,99361.06965841132
51,32185.24837999829
52,137239.76706352856
53,138857.90062206183
54,103416.08899860467
55,76703.21177940359
56,158473.5393584666
57,152789.28007760723
58,118573.77160530459
59,150613.39515905763
60,118573.77160530459
61,219190.60393570573
62,150613.39515905763
63,150613.39515905763
64,173465.90690384826
65,155654.74051877667
66,155654.74051877667
67,150613.39515905763
68,118573.77160530459
69,69455.8499183456
70,208072.018605033
71,150613.39515905763
72,103416.08899860467
73,56906.43814024941
74,98350.67334482957
75,138857.90062206183
76,71814.7095095335
77,76703.21177940359
78,55433.10559983357
79,159418.8257136006
80,47330.574939884384
81,44054.555209479135
82,299309.56737061514
83,216559.31610796778
84,103416.08899860467
85,73906.93102242012
86,73906.93102242012
87,158473.5393584666
88,150613.39515905763
89,331969.3622165108
90,87934.71725849606
91,51100.627889617215
92,77113.04722761776
93,33382.58066705369
94,150613.39515905763
95,264945.38461318583
96,58386.527166507694
97,82669.74857566683
98,65582.73480895095
99,188716.79630395144
100,150613.39515905763
101,118573.77160530459
102,118573.77160530459
103,155654.74051877667
104,158473.5393584666
105,61246.1233491663
106,118573.77160530459
